date,close,volume,open,high,low
2024-01-17,48.033,48945930,48.45,48.621,47.5264
2024-01-18,48.531,40543990,48.003,48.577,47.802
2024-01-19,48.295,56723510,48.498,48.567,47.606
2024-01-22,48.571,52123090,48.755,48.98,47.99
2024-01-23,49.219,155060200,49.2,49.896,48.14
2024-01-24,54.487,264328000,53.775,56.25,53.707
2024-01-25,56.2,94519150,55.195,56.346,54.846
2024-01-26,57.042,127705700,56.181,57.964,55.8432
2024-01-29,57.579,69053900,57.135,57.855,56.268
2024-01-30,56.285,61817980,56.732,57.088,56.082
2024-01-31,56.411,48575990,56.285,57.215,56.2045
2024-02-01,56.751,31740020,56.702,57.266,56.383
2024-02-02,56.464,40328430,56.452,56.78,56.237
2024-02-05,56.206,41430990,56.247,57.575,55.7195
2024-02-06,55.588,28403000,56.412,56.634,55.437
2024-02-07,55.93,43735910,55.816,56.78,55.498
2024-02-08,55.853,31754680,56.055,56.37,55.574
2024-02-09,56.132,30556980,56.5,56.6,55.81
2024-02-12,55.785,36084870,56.036,56.844,55.7
2024-02-13,55.452,35114530,55.08,55.92,54.9
2024-02-14,57.933,56342260,56.726,58.1248,56.434
2024-02-15,59.346,52209380,58.191,59.377,58.032
2024-02-16,58.395,43256890,59.695,59.7,57.746
2024-02-20,57.513,31242360,58.018,58.6,56.966
2024-02-21,57.335,22811430,57.351,57.5775,56.732
2024-02-22,58.847,35265970,58.275,59.085,57.8885
2024-02-23,58.356,25688520,58.64,59.243,57.982
2024-02-26,58.765,23937120,58.356,59.075,58.327
2024-02-27,60.167,44893550,59.5,60.536,59.233
2024-02-28,59.648,26052420,59.579,59.817,59.001
2024-02-29,60.292,35720820,60.425,60.4516,59.516
2024-03-01,61.934,42703050,59.981,62.028,59.95
2024-03-04,61.583,30203060,62.156,62.442,61.508
2024-03-05,59.85,38495630,61.01,61.091,59.2
2024-03-06,59.769,24695920,60.299,60.793,59.3556
2024-03-07,60.851,27428050,59.934,61.053,59.59
2024-03-08,60.482,27772430,60.827,61.609,60.084
2024-03-11,60.093,25009400,60.808,61.1,60.037
2024-03-12,61.108,28216310,60.021,61.53,59.627
2024-03-13,60.945,21920940,61.337,61.485,60.721
2024-03-14,61.301,31204520,61.5,62.08,60.735
2024-03-15,60.588,66716290,62.292,62.292,60.382
2024-03-18,61.839,33442440,61.356,62.741,61.0448
2024-03-19,62.074,21426130,61.562,62.128,60.8
2024-03-20,62.769,26395090,61.995,62.9505,61.834
2024-03-21,62.271,25076710,63.065,63.4362,62.233
2024-03-22,62.801,21356880,62.416,62.905,62.1
2024-03-25,62.746,18032640,62.79,63.046,62.316
2024-03-26,62.924,28044530,62.52,63.439,61.9184
2024-03-27,61.353,26282670,62.901,63.135,61.073
2024-03-28,60.733,37088030,61.499,61.5,60.159
2024-04-01,61.431,21159250,60.8,61.511,60.5571
2024-04-02,61.421,20292170,61.1,61.503,60.551
2024-04-03,63.008,29312310,61.2745,63.041,61.15
2024-04-04,61.714,30643490,63.321,63.8,61.658
2024-04-05,63.618,33788420,62.492,63.791,62.271
2024-04-08,62.841,21457310,63.639,63.9,62.811
2024-04-09,61.82,21466350,63.199,63.199,61.5635
2024-04-10,61.858,28062480,61.097,62.014,60.934
2024-04-11,62.878,26626620,62.442,63.166,61.724
2024-04-12,62.283,29592690,62.823,63.312,61.8915
2024-04-15,60.715,30853940,63.017,63.017,60.3871
2024-04-16,61.752,35191220,60.75,62.245,60.75
2024-04-17,61.369,33122220,62.097,62.097,60.771
2024-04-18,61.056,84684070,61.21,62.133,60.5435
2024-04-19,55.504,164497000,56.788,57.9,55.216
2024-04-22,55.46,85976510,55.066,55.861,54.201
2024-04-23,57.775,49755200,55.649,57.921,55.528
2024-04-24,55.512,53553120,57.431,57.6907,55.13
2024-04-25,56.48,38071010,54.946,56.654,54.5705
2024-04-26,56.123,43325930,55.821,56.292,55.319
2024-04-29,55.949,25088820,55.918,55.964,55.424
2024-04-30,55.064,33614920,56.0,56.0,54.9375
2024-05-01,55.171,34732330,54.784,56.039,54.425
2024-05-02,56.515,30682280,55.602,56.546,55.559
2024-05-03,57.934,33075240,56.6,58.026,56.516
2024-05-06,59.697,36863370,58.182,59.734,58.025
2024-05-07,60.6,36140920,59.628,60.605,59.132
2024-05-08,60.947,30939040,60.163,61.822,60.163
2024-05-09,61.209,20653750,61.44,61.572,60.575
2024-05-10,61.087,26535860,61.9,62.398,60.506
2024-05-13,61.659,20861970,61.43,61.8219,60.683
2024-05-14,61.366,27923580,61.517,62.148,60.84
2024-05-15,61.352,56706070,61.857,62.41,60.91
2024-05-16,61.052,30563500,61.575,61.834,60.909
2024-05-17,62.11,37827080,61.7,62.579,61.4714
2024-05-20,64.082,38578530,62.04,64.437,61.952
2024-05-21,65.061,29201550,63.676,65.088,63.422
2024-05-22,64.047,21761740,64.714,64.925,63.812
2024-05-23,63.567,23139390,64.234,64.271,63.0
2024-05-24,64.675,26152600,63.94,65.2,63.76
2024-05-28,64.9,26094510,64.705,64.975,64.303
2024-05-29,65.462,36959350,64.413,66.425,64.389
2024-05-30,64.766,23933540,65.352,65.649,64.473
2024-05-31,64.162,40710230,64.401,64.858,62.83
2024-06-03,63.379,23235060,64.5215,64.678,62.727
2024-06-04,63.162,30081510,63.378,63.523,62.644
2024-06-05,65.027,26826140,63.402,65.125,62.825
2024-06-06,64.852,24666640,64.489,65.799,64.4237
2024-06-07,64.147,18766310,64.938,65.04,64.024
2024-06-10,64.45,20667590,64.101,64.479,63.559
2024-06-11,64.855,21674170,64.072,65.019,64.052
2024-06-12,65.006,20943810,65.221,65.578,64.311
2024-06-13,65.326,18635870,64.4,65.525,64.235
2024-06-14,66.938,44471160,65.505,67.558,65.264
2024-06-17,67.583,36311840,66.911,68.271,66.511
2024-06-18,68.567,29437750,67.563,68.706,67.464
2024-06-20,67.903,25850890,68.18,68.988,67.372
2024-06-21,68.612,45570860,68.326,68.69,67.81
2024-06-24,66.902,39163350,68.5,68.55,66.45
2024-06-25,67.241,22787680,67.344,67.3665,66.23
2024-06-26,67.769,35458150,67.241,68.296,67.002
2024-06-27,68.434,24048490,67.935,68.857,67.814
2024-06-28,67.488,34123910,67.9,68.7,67.308
2024-07-01,67.361,22128260,67.489,67.502,66.378
2024-07-02,67.958,24114260,67.354,68.174,67.007
2024-07-03,68.251,14035450,67.748,68.375,67.55
2024-07-05,69.065,26590650,68.251,69.749,67.723
2024-07-08,68.574,19307860,68.7,68.886,68.1485
2024-07-09,68.574,25994740,69.0,69.527,68.472
2024-07-10,67.765,26519280,68.502,68.722,67.316
2024-07-11,65.275,51119280,67.2485,67.2485,64.744
2024-07-12,64.76,33551970,65.275,65.592,64.3708
2024-07-15,65.645,32087630,64.75,66.754,64.663
2024-07-16,65.632,26857060,66.18,66.3675,64.913
2024-07-17,64.746,40172770,65.0,65.045,63.947
2024-07-18,64.304,75757630,65.66,65.704,63.9165
2024-07-19,63.334,98156310,66.064,67.897,62.912
2024-07-22,64.75,52190770,63.95,65.629,63.26
2024-07-23,64.276,24635790,64.75,64.991,64.1
2024-07-24,63.599,48881630,63.574,65.242,63.2674
2024-07-25,63.409,45545390,64.1,64.998,62.17
2024-07-26,63.137,31206590,64.5,64.699,62.977
2024-07-29,62.696,24005370,63.461,63.461,62.393
2024-07-30,62.258,34966090,63.017,63.469,61.7
2024-07-31,62.835,31348770,62.657,63.36,62.258
2024-08-01,62.485,37205730,62.925,64.671,61.761
2024-08-02,61.364,35230030,62.098,62.527,60.835
2024-08-05,59.855,40442350,58.704,60.4563,58.704
2024-08-06,60.957,43190570,60.062,62.245,60.062
2024-08-07,61.148,31877910,61.6065,63.2,61.064
2024-08-08,63.035,32835420,62.199,63.229,61.602
2024-08-09,63.394,19808360,62.299,63.662,62.299
2024-08-12,63.314,23317120,63.1,63.9,62.707
2024-08-13,64.802,26395710,63.856,65.097,63.55
2024-08-14,66.168,40143440,64.87,66.357,64.87
2024-08-15,66.322,32101730,66.849,67.319,65.98
2024-08-16,67.407,35110140,66.943,68.023,66.536
2024-08-19,68.853,30162270,67.407,68.884,67.291
2024-08-20,69.854,48131180,68.886,71.133,68.8245
2024-08-21,69.712,22353430,69.7,70.1,69.138
2024-08-22,68.896,27293890,69.1,70.15,68.624
2024-08-23,68.673,23544500,69.413,69.607,67.863
2024-08-26,68.844,13541540,68.726,69.059,68.1638
2024-08-27,69.572,31648780,68.853,70.789,68.692
2024-08-28,68.384,24305830,69.583,69.667,67.71
2024-08-29,69.248,21869740,69.0,69.98,68.607
2024-08-30,70.135,32667230,70.036,70.186,68.816
2024-09-03,67.532,31609640,70.01,70.386,67.101
2024-09-04,67.968,17853370,67.331,68.465,67.306
